skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Enchant	52	sor	enchant		25																73731	enchant	enchant	ln12	8	firemindam	edmn	firemaxdam	edmx	item_tohit_percent	toht																																														sorceress_enchant											fire_cast_2																					1	4		none												SC	SC	xx																	1			1			sorceress_enchant			18	20					Lesser Hydra	Fire Ball													1	8	25	1	1																		3600	duration	600	duration per level	33	missile pct	8	range							18	damage synergy	1	20	5						7															fire	25	5	11	18	30	42	35	7	13	20	32	44	(skill('Warmth'.blvl))*par8								640	40000
Chain Lightning	53	sor	chain lightning		26												chainlightning	chainlightning	chainlightning						par1																																																				sorceress_cast_lightning											light_cast_1				27					chainlightning	chainlightning	chainlightning										1	2		none												SQ	SC	SC	12			1													151	96					sorceress_cast_lightning			24	20					Lightning								1						1	7	8	1	1										"min(ln34 / 5, 14)"	# hits							20	radius of jump to next target			26	bolts (5ths)	1	bolts per level (5ths)	5	5ths					6	damage synergy	1								8															ltng	1	0	0	0	0	0	40	13	16	19	22	25	(skill('Charged Bolt'.blvl)+skill('Lightning'.blvl))*par8								768	60000
Teleport	54	sor	teleport		155																	teleportdebuff		par1		passive_ltng_mastery	-((par2-(blvl*2))+stat('passive_ltng_mastery'.accr)/(100/(par2-(blvl*2))))	passive_fire_mastery	-((par2-(blvl*2))+stat('passive_fire_mastery'.accr)/(100/(par2-(blvl*2))))	passive_cold_mastery	-((par2-(blvl*2))+stat('passive_cold_mastery'.accr)/(100/(par2-(blvl*2))))	passive_mag_mastery	-((par2-(blvl*2))+stat('passive_mag_mastery'.accr)/(100/(par2-(blvl*2))))	passive_pois_mastery	-((par2-(blvl*2))+stat('passive_pois_mastery'.accr)/(100/(par2-(blvl*2))))																																										sorceress_teleport											teleport																			1		1	0		none												SQ	SC	xx	12			1													1		1	2			sorceress_teleport	teleport		18	20					Telekinesis								1						1	8	24	-1	1																		25	debuff frames	50	base dmg reduction													1								8															ltng																					640	40000
Glacial Spike	55	sor	glacial spike											glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold											ice_cast_2								glacialspike													1	7		none												SC	SC	SC																	1						sorceress_cast_cold			18	20					Ice Blast								1						1	7	20	1	1																		5	radius	0	radius per level	50	freeze frames	0	freeze frames per level					5	freeze synergy	5	damage synergy	1								7															cold	40	14	26	28	30	32	56	15	27	29	31	33	(skill('Ice Barrage'.blvl)+skill('Ice Blast'.blvl)+skill('Ice Bolt'.blvl))*par8								640	40000
Meteor	56	sor	meteor		28												meteorcenter	meteorcenter	meteorcenter						ln12																																																				sorceress_cast_fire											fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		24	20					Fire Ball	Fire Wall						16	1						1	7	34	1	1										ln12	radius							8	radius of explosion	0	radius per level	50	Frames of fire	0	Frames of fire per level					10	ele damage synergy	10	phys damage synergy	1								8		20	7	10	13	15	17	25	9	12	15	18	21	(skill('Fire Ball'.blvl) + skill('Fire Wall'.blvl) + skill('Inferno'.blvl))*par7+(stat('passive_fire_mastery'.accr))	fire	20	4	4	5	6	7	25	6	6	7	8	9	(skill('Fire Ball'.blvl) + skill('Fire Wall'.blvl) + skill('Inferno'.blvl))*par7								768	60000
Thunder Storm	57	sor	thunder storm	13	29												thunderstorm1					thunderstorm		ln12																																																					sorceress_thunder_cast									lightning		light_cast_2					84				thunderstorm1												1	5		none												SC	SC	xx																										24	20					Nova	Lightning													1	8	19	0	1			1	par3 - (blvl * 25 / 20)														800	duration	200	additional duration/level	50	base repeat time	1	frame decrease per level					17	radius	6	damage synergy	1								8															ltng	1	2	3	4	5	6	100	4	5	6	7	8	(skill('Charged Bolt'.blvl) + skill('Nova'.blvl)) * par8								768	60000
Energy Shield	58	sor	energy shield		23																	energyshield		ln12														absorbdamage	24																																						sorceress_cast_lightning				sorceress_energyshield					energyshieldhit0		light_cast_2																					1	4		none												SC	SC	xx																	1						sorceress_cast_lightning	light_cast_2		24	20					Teleport	Chain Lightning													1	8	5	0	1	1									"min(edmn,85)"	damage absorption	par5-skill('Telekinesis'.blvl)	ratio					3600	duration	1500	additional duration/level					36	Mana Damage mult in sixteenths							1								8															ltng	15	2	2	2	2	2															896	80000
Blizzard	59	sor	blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		24	20					Frost Nova	Glacial Spike						25	1						1	7	26	1	1										par1	radius	par3	frequency					7	radius			2	Missile delay	0	Change duration in Missiles.xls							10	damage synergy	1								8															cold	15	6	8	10	12	14	25	8	10	12	14	16	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	60000
Chilling Armor	60	sor	chilling armor		18												chillingarmorbolt					chillingarmor		ln34		skill_armor_percent	ln12											hitbymissile	1	damagedinmelee	3																																				sorceress_cast_cold				sorceress_shiverarmor							ice_cast_3	chillarmor_hit								chillingarmorbolt												1	5		none												SC	SC	xx					4			1									1			1			sorceress_cast_cold			24	20					Shiver Armor														1	8	17	0	1	1																	45	% AC Bonus	5	% AC bonus per level	6000	duration	75	duration per level					0	duration synergy	20	damage synergy	1								7															cold	10	3	6	9	12	15	14	4	7	10	13	16	skill('Cold Enchant'.blvl)*par8	100	5	5	5				768	60000
Fire Mastery	61	sor	fire mastery																																											firemastery		passive_fire_mastery	ln12	passive_fire_pierce	"min(lvl, 30)"																																																										1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												20	% Damage bonus	4	% Damage bonus per level													1								8															fire																					896	80000
Hydra	62	sor	hydra	14	144																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr) / 2									hydra1	hydra	9 + stat('extra_hydra'.accr)	S2	HydraFireball	lvl	Fire Bolt	skill('Fire Bolt'.blvl)	Fire Ball	skill('Fire Ball'.blvl)							1	sorceress_cast_fire											fire_cast_2			17																		1	7		none												SC	SC	S1					4												1				1		sorceress_cast_fire	fire_cast_2		30	20					Enchant								1						1	7	40	1	1																		150	duration	0	additional duration/level											6	damage synergy	1								7															fire	84	16	23	31	38	44	117	20	25	35	41	47	(skill('Fire Bolt'.blvl) + skill('Lesser Hydra'.blvl))*par8								896	80000
Lightning Mastery	63	sor	lightning mastery																																											lightningmastery		passive_ltng_mastery	ln12																																																												1	5		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												50	% Damage bonus	12	% Damage bonus per level													1								8															ltng																					896	80000
Frozen Orb	64	sor	frozen orb											frozenorb																																																															sorceress_cast_cold											ice_cast_3				29					frozenorb												1	8		none												SQ	SC	SC	12																1						sorceress_cast_cold			30	20					Blizzard								1						1	7	28	1	1																																4	damage synergy	1								7															cold	100	3	9	15	21	27	110	5	11	17	23	29	(skill('Ice Bolt'.blvl)+skill('Ice Blast'.blvl))*par8	200	5	5	5				896	80000
Cold Mastery	65	sor	cold mastery																																											coldmastery		passive_cold_pierce	"min(ln12, 45)"	passive_cold_mastery	ln34																																																										1	3		none												SC	SC	xx																										30	20													1						0	8	0	0	1						1												5	lower resist	1	lower resist per level	10	% inc cold dmg	2	% cold dmg per level									1								8															cold																					896	80000
AmpDmg	66	nec	amplify damage		30																3		amplifydamage	ln34	par1 + lvl / 3 + skill('CurMas'.blvl) / 3	damageresist	-"min(par5 + par6*lvl + (skill('CurMas'.blvl)/2),60)"																																																		necromancer_curse_cast														18	30					curseamplifydamage		cursecast										1	10		none												SC	SC	S2					4												1						necromancer_curse_cast			1	20													1						1	6	8	1	1																		6	radius	1	radius per level	100	duration	5	additional duration/level	10	% additional damage taken	1	increase per level					1								8															mag																					256	5000
Teeth	67	nec	teeth		8												teeth																																																												necromancer_bone_cast														19	17					teeth	teeth	bonecast										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			1	20													1						1	7	6	1	1										"min(ln12,24)"	# missiles	par3	activation frame					2	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									25	damage synergy	1								7															mag	3	1	2	8	15	23	6	2	3	10	18	27	(skill('Bone Armor'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8+stat('passive_mag_mastery'.accr)								256	5000
Bone Armor	68	nec	bone armor		18																	bonearmor				bonearmor	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256	bonearmormax	(ln12 + (skill('Bone Wall'.blvl) + skill('Bone Prison'.blvl)) * par8)*256									absorbdamage	22																																						necromancer_bonearmor																																1	3		none												SC	SC	xx																	1						necromancer_bonearmor			6	20					Teeth							13							1	8	11	1	1	1																	20	damage absorbed	10	additional absorbed/level											15	absorb synergy	1								8															mag																					384	10000
Skeleton Mastery	69	nec	skeleton mastery																																											skel_mastery																																																															1	0		none												SC	SC	xx																										1	20					Raise Skeleton														0	8	0	0	1						1												15	additional hit points/level	2	additional damage per level	10	dmg%/lvl for mages											1								8															mag																					256	5000
Raise Skeleton	70	nec	raise skeleton	15	31																					damagepercent	((lvl < 4) ? 0 : ((lvl-3)*par3))	tohit	(lvl+skill('Skeleton Mastery'.lvl))*par4	armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																	maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256	item_normaldamage	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par2) + edmn	velocitypercent	"min(skill('Skeleton Mastery'.lvl), 40)"							necroskeleton	skeleton	"min((lvl < 4) ?lvl:(2+lvl/3), 8) + stat('extra_skele_war'.accr)"	S1													1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1															1	20																			1	8	6	1	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment							5	% chance of shield	50	hp%/lvl	10	dmg%/lvl	75	to hit/lvl	20	ac/lvl					8	damage Synergy	1								8															mag	0	1	2	3	4	5							(skill('Skeleton Mastery'.blvl))*par8								256	5000
Dim Vision	71	nec	dim vision		30																2		dimvision	ln34	par1 + lvl / 3	tohit	-(ln56 + skill('CurMas'.blvl)*par8)																																																		necromancer_curse_cast														18	30					cursedimvision		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast			6	20																			1	6	24	1	1																		6	radius	1	radius per level	150	duration	25	additional duration/level	50	base ar reduc	15	ar reduc per level			10	debuff synergy	1								8															mag																					384	10000
Weaken	72	nec	weaken		30																3		weaken	ln34	par1 + lvl / 3 + skill('CurMas'.blvl) / 3	damagepercent	-(ln56 + skill('CurMas'.blvl) / 2)																																																		necromancer_curse_cast														18	30					curseweaken		cursecast										1	9		none												SC	SC	SC					4												1						necromancer_curse_cast			18	20					Life Tap														1	6	16	1	1																		6	radius	1	radius per level	250	duration	35	additional duration/level	10	% damage reduc	1	% damage reduc per level					1								8															mag																					640	40000
Poison Dagger	73	nec	poison dagger		164												poisondaggercloud																																																																											102					poisondaggercloud												1	4		h2h		knif	sc9									A1	A1	xx						1	1								1											1	20													1						1	5	12	1	1										"min(ln12, 30)"	poison pierce							2	pierce base	1	pierce per level											22	damage synergy	1	30	20						4	128														pois	1	1	4	10	18	26	2	1	4	10	18	26	(skill('Desecrate'.blvl)+skill('Poison Nova'.blvl))*par8	50							256	5000
Corpse Explosion	74	nec	corpse explosion	17	55																				((par3+skill('Corpse Explosion'.lvl)*par4)>42)?42:(par3+skill('Corpse Explosion'.lvl)*par4)																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast			6	20					Poison Dagger														1	6	20	1	1										par1	% target hp min damage	par2	% target hp max damage	par5	% is fire damage			5	% of base monster HP min damage	10	% of base monster HP max damage	14	radius (half squares)	1	additional radius/level (half squares)	50	% is fire damage					7	damage synergy	1								8		2	1	1	5	10	15	5	1	1	10	14	18	(skill('Revive'.blvl)+skill('Desecrate'.blvl)+skill('AmpDmg'.blvl))*par8	fire	2	1	1	5	10	15	5	1	1	10	14	18	(skill('Revive'.blvl)+skill('Desecrate'.blvl)+skill('AmpDmg'.blvl))*par8								384	10000
Clay Golem	75	nec	clay golem		56																					item_slow	dm34											damagedinmelee	27									velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56) + (lvl*par8)	damagepercent	par2 * (lvl - 1) + (skill('FireGolem'.blvl)+skill('IronGolem'.blvl)+skill('BloodGolem'.blvl)+skill('Golem Mastery'.blvl))*par6	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					ClayGolem	golem	1 + (skill('Golem Mastery'.blvl) / 5) + stat('extra_golem'.accr)	S1														necromancer_golem_cast																																1	5		none												SC	SC	S1					4																					6	20																			1	7	15	1	1	1									par7*lvl + skill('Golem Mastery'.ln12)	hp % adjustment									100	% Damage bonus per level	0	slow effect min	25	slow effect max			40	damage synergy	15	% HP bonus per level	20	clay golem attack synergy	1								8															mag																					384	10000
